English,Español
almost,casi
include,incluir
continue,Seguir
set,establecer
later,luego
community,comunidad
much,mucho
name,nombre
five,cinco
once,una vez
white,blanco
least,el menos
president,presidente
learn,aprender
real,real
change,cambio
team,equipo
minute,minuto
best,mejor
several,varios
idea,ocurrencia
kid,niño
body,cuerpo
information,información
nothing,nada
ago,atrás
right,Correcto
lead,Plomo
social,social
understand,comprender
whether,ya sea
back,espalda
watch,reloj
together,juntos
follow,seguir
around,alrededor
parent,padre
only,solamente
stop,deténgase
face,cara
anything,cualquier cosa
create,crear
public,público
already,ya
speak,hablar
others,otros
read,leer
level,nivel
allow,permitir
add,agregar
office,oficina
spend,gastar
door,puerta
health,salud
person,persona
art,Arte
sure,Por supuesto
such,tal
war,guerra
history,historia
party,fiesta
within,dentro de
grow,crecer
result,resultado
open,abierto
change,cambio
morning,Mañana
walk,caminar
reason,razón
low,bajo
win,victoria
research,investigar
girl,chica
guy,tipo
early,temprano
food,alimento
before,antes de
moment,momento
himself,él mismo
air,aire
teacher,profesor
force,fuerza
offer,oferta
enough,suficiente
both,ambas cosas
education,educación
across,a través de
although,a pesar de que
remember,recuerda
foot,pie
second,segundo
boy,chico
maybe,quizás
toward,hacia
able,poder
age,años
off,apagado
policy,política
everything,todo
love,amor
process,proceso
music,música
including,incluido
consider,considerar
appear,Aparecer
actually,Realmente
buy,comprar
probably,probablemente
human,humano
wait,Espere
serve,atender
market,mercado
die,morir
send,enviar
expect,suponer
home,hogar
sense,sentido
build,construir
stay,Quédate
fall,otoño
oh,Oh
nation,nación
plan,plan
cut,Corte
college,colega
interest,interés
death,muerte
course,curso
someone,alguien
experience,experiencia
behind,detrás
reach,alcanzar
local,local
kill,matar
six,seis
remain,permanecer
effect,efecto
use,usar
yeah,sí
suggest,sugerir
class,clase
control,control
raise,elevar
care,cuidado
perhaps,quizás
little,poco
late,tarde
hard,difícil
field,campo
else,más
pass,pasar
former,anterior
sell,vender
major,importante
sometimes,algunas veces
require,requerir
along,a lo largo de
development,desarrollo
themselves,ellos mismos
report,reporte
role,role
better,mejor
economic,económico
effort,esfuerzo
up,arriba
decide,decidir
rate,Velocidad
strong,fuerte
possible,posible
heart,corazón
drug,droga
show,mostrar
leader,líder
light,luz
voice,voz
wife,esposa
whole,entero
police,policía
mind,mente
finally,finalmente
pull,jalar
return,devolver
free,libre
military,militar
price,precio
report,reporte
less,menos
according,de acuerdo a
decision,decisión
explain,explique
son,hijo
hope,esperar
even,incluso
develop,desarrollar
view,vista
relationship,relación
carry,llevar
town,pueblo
road,la carretera
drive,conducir
arm,brazo
TRUE,CIERTO
federal,federal
break,descanso
better,mejor
difference,diferencia
thank,gracias
receive,recibir
value,valor
international,internacional
building,edificio
action,acción
full,completo
model,modelo
join,unirse
season,temporada
society,sociedad
because,porque
tax,impuesto
director,director
early,temprano
position,posición
player,jugador
agree,aceptar
especially,especialmente
record,registro
pick,elegir
wear,tener puesto
paper,papel
special,especial
space,espacio
ground,terrestre
form,forma
support,apoyo
event,evento
official,oficial
whose,cuyo
matter,asunto
everyone,todo el mundo
center,centro
couple,pareja
site,sitio
end,final
project,proyecto
hit,pegar
base,base
activity,actividad
star,estrella
table,mesa
need,necesitar
court,tribunal
produce,producir
eat,comer
American,Americano
teach,enseñar
oil,aceite
half,mitad
situation,situación
easy,fácil
cost,costo
industry,industria
figure,figura
face,cara
street,calle
image,imagen
itself,sí mismo
phone,teléfono
either,o
data,datos
cover,cubrir
quite,bastante
picture,imagen
clear,claro
practice,práctica
piece,pieza
land,tierra
recent,reciente
describe,describir
product,producto
doctor,médico
wall,pared
patient,paciente
worker,trabajador
news,noticias
test,prueba
movie,película
certain,cierto
north,norte
love,amor
personal,personal
open,abierto
support,apoyo
simply,simplemente
third,tercera
technology,tecnología
catch,captura
step,paso
baby,bebé
computer,computadora
type,escribe
attention,atención
draw,dibujar
film,película
Republican,Republicano
tree,árbol
source,fuente
red,rojo
nearly,por poco
organization,organización
choose,elegir
cause,causa
hair,pelo
look,Mira
point “What is the point of all this?,Punto “¿Cuál es el punto de todo esto?
century,siglo
evidence,evidencia
window,ventana
"difficult “Sometimes, life can be difficult","difícil ""a veces, la vida puede ser difícil"
listen,escuchar
soon,pronto
culture,cultura
billion,mil millones
chance,oportunidad
brother,hermano
energy,energía
period,período
course,curso
summer,el verano
less,menos
realize,darse cuenta
hundred,ciento
available,disponible
plant,planta
likely,probable
opportunity,oportunidad
term,término
short,corto
letter,carta
condition,condición
choice,elección
place,lugar
single,único
rule,regla
daughter,hija
administration,administración
south,sur
husband,esposo
Congress,Congreso
floor,piso
campaign,Campaña
material,material
population,población
well,bien
call,llamar
economy,economía
medical -“She needs medical assistance,Medicina -“Ella necesita asistencia médica
hospital,hospital
church,iglesia
close -“Please close the door,"Cerrar -“Por favor, cierre la puerta"
thousand,mil
risk,riesgo
current,Actual
fire,fuego
future -“The future is full of hope,Futuro -“El futuro está lleno de esperanza
wrong,equivocado
involve,involucrar
defense,defensa
anyone,cualquiera
increase,aumentar
security,seguridad
bank,banco
myself,mí mismo
certainly,seguramente
west,Oeste
sport,deporte
board,junta
seek,buscar
per,por
subject,tema
officer,oficial
private,privado
rest,descansar
behavior,comportamiento
deal,acuerdo
performance,actuación
fight,lucha
throw,lanzar
top,parte superior
quickly,rápidamente
past,pasado
goal,meta
second,segundo
bed,cama
order,ordenar
author,autor
fill,llenar
represent,representar
focus,enfoque
foreign,extranjero
drop,soltar
plan,plan
blood,sangre
upon,al
agency,agencia
push,empujar
nature,naturaleza
color,color
no,no
recently,recientemente
store,Tienda
reduce,reducir
sound,sonido
note,Nota
fine,multa
before,antes de
near,cerca
movement,movimienot
page,página
enter,ingresar
share,Cuota
than,que
common,común
poor,pobre
other,otro
natural,natural
race,la raza
concern,inquietud
series,serie
significant,importante
similar,similar
hot,caliente
language,idioma
each,cada
usually,normalmente
response,respuesta
dead,muerto
rise,elevar
animal,animal
factor,factor
decade,década
article,artículo
shoot,disparar
east,este
save,ahorrar
seven,Siete
artist,artista
away,lejos
scene,escena
stock,Valores
career,carrera profesional
despite,A pesar de
central,central
eight,ocho
thus,de este modo
treatment,tratamiento
beyond,más allá de
happy,contento
exactly,exactamente
protect,proteger
approach,Acercarse
lie,mentir
size,Talla
dog,perro
fund,fondo
serious,serio
occur,ocurrir
media,medios de comunicación
ready,Listo
sign,señal
thought,pensamiento
list,lista
individual,individual
simple,simple
quality,calidad
pressure,presión
accept,aceptar
answer,responder
hard,difícil
resource,recurso
identify,identificar
left,izquierda
meeting,reunión
determine,determinar
prepare,preparar
disease,enfermedad
whatever,lo que sea
success,éxito
argue,discutir
cup,taza
particularly,particularmente
amount,Monto
ability,capacidad
staff,personal
recognize,reconocer
indicate,indicar
character,personaje
growth,crecimiento
loss,pérdida
degree,la licenciatura
wonder,preguntarse
attack,ataque
herself,sí misma
region,región
television,televisión
box,caja
TV,TELEVISOR
training,capacitación
pretty,bonita
trade,comercio
deal,acuerdo
election,elección
everybody,todos
physical,físico
lay,poner
general,general
feeling,sentimiento
standard,estándar
bill,factura
message,mensaje
fail,fallar
outside,fuera de
arrive,llegar
analysis,análisis
benefit,beneficio
name,nombre
sex,sexo
forward,delantero
lawyer,abogado
present,presente
section,sección
environmental,ambiental
glass,vidrio
answer,responder
skill,habilidad
sister,hermana
PM,PM
professor,profesor
operation,operación
financial,financiero
crime,delito
stage,escenario
ok,OK
compare,comparar
authority,autoridad
miss,señorita
design,diseño
sort,clasificar
one,una
act,Actuar
ten,diez
knowledge,conocimiento
gun,pistola
station,estación
blue,azul
state,estado
strategy,estrategia
little,poco
clearly,claramente
discuss,conversar
indeed,Por supuesto
force,fuerza
truth,verdad
song,canción
example,ejemplo
democratic,democrático
check,controlar
environment,ambiente
leg,pierna
dark,oscuro
public,público
various,varios
rather,bastante
laugh,risa
guess,adivinar
executive,ejecutivo
set,establecer
study,estudiar
prove,demostrar
hang,colgar
entire,completo
rock,roca
design,diseño
enough,suficiente
forget,olvidar
since,ya que
claim,reclamar
note,Nota
remove,retirar
manager,gerente
help,ayuda
close,cerca
sound,sonido
enjoy,disfrutar
network,la red
legal,legal
religious,religioso
cold,frío
form,forma
final,final
main,principal
science,Ciencias
green,verde
memory,memoria
card,tarjeta
above,arriba
seat,asiento
cell,célula
establish,establecer
nice,bonito
trial,prueba
expert,experto
that,que
spring,primavera
firm,firma
Democrat,Demócrata
radio,radio
visit,visitar
management,administración
care,cuidado
avoid,evitar
imagine,imaginar
tonight,esta noche
huge,enorme
ball,pelota
no,no
close,cerca
finish,finalizar
yourself,tú mismo
talk,hablar
theory,teoría
impact,impacto
respond,responder
statement,declaración
maintain,mantener
charge,cobrar
popular,popular
traditional,tradicional
onto,sobre
reveal,revelar
direction,dirección
weapon,arma
employee,empleado
cultural,cultural
contain,contener
peace,paz
head,cabeza
control,control
base,base
pain,dolor
apply,aplicar
play,desempeñar
measure,medida
wide,amplio
shake,sacudir
fly,volar
interview,entrevista
manage,administrar
chair,silla
fish,pez
particular,especial
camera,cámara
structure,estructura
politics,política
perform,llevar a cabo
bit,un poco
weight,peso
suddenly,de repente
discover,descubrir
candidate,candidato
top,parte superior
production,producción
treat,tratar
trip,viaje
evening,tardecita
affect,afectar
inside,en el interior
conference,conferencia
unit,unidad
best,mejor
style,estilo
adult,adulto
worry,preocuparse
range,rango
mention,mencion
rather,bastante
far,lejos
deep,profundo
front,frente
edge,borde
individual,individual
specific,específico
writer,escritor
trouble,problema
necessary,necesario
throughout,a lo largo de
challenge,desafío
fear,miedo
shoulder,hombro
institution,institución
middle,medio
sea,mar
dream,sueño
bar,bar
beautiful,hermoso
property,propiedad
instead,en cambio
improve,mejorar
stuff,cosas
claim,reclamar
